"Ministries/Departments","Head of Expenditure","Detailed Head of Expenditure","Actual 2018-2019 Total","Budget 2019-2020 Total","Revised 2019-2020 Total","Budget 2020-2021 Total"
"Department of Rural Development","Roads and Bridges","Total Roads and Bridges","11111.42","79.21","74.21","135.72"
"Department of Rural Development","Secretariat-Economic Services","Total Secretariat-Economic Services","44.88","47.57","52.53","48.76"
"Department of Rural Development","North Eastern Areas","Total North Eastern Areas","...","5501.35","4349","5608.35"
"Department of Rural Development","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","36157.11","45684.16","40998.01","46501.72"
"Department of Rural Development","Grants-in-aid to Union Territory Governments","Total Grants-in-aid to Union Territory Governments","76.7","124.15","99.46","834.71"
"Department of School Education and Literacy","Secretariat","Total Secretariat","24.05","24.9","29.9","35"
"Department of School Education and Literacy","Directorate of Adult Education","Total Directorate of Adult Education","3.53","8","3.8","5"
"Department of School Education and Literacy","Digital India e-learning","Total Digital India e-learning","...","...","...","..."
"Department of School Education and Literacy","National Award to Teachers","Total National Award to Teachers","0.75","3","1.34","1.5"
"Department of School Education and Literacy","National Means cum Merit Scholarship Scheme","Support from Gross Budgetary Support","6.08","57.18","24.18","173"
"Department of School Education and Literacy","National Means cum Merit Scholarship Scheme","Support from Madhyamik and Uchhatar Shiksha Kosh","313.09","311.02","311.02","200"
"Department of School Education and Literacy","National Scheme for Incentive to Girl Child for Secondary Education","Support from Gross Budgetary Support (GBS)","4.16","20","7.67","110"
"Department of School Education and Literacy","National Scheme for Incentive to Girl Child for Secondary Education","Support from Madhyamik and Uchhatar Shiksha Kosh","160.42","80","80","..."
"Department of School Education and Literacy","Operation Digital Board (ODB)","Total Operation Digital Board (ODB)","...","...","...","25"
"Department of School Education and Literacy","Pradhan Mantri Innovative Learning Programme (DHRUV)","Total Pradhan Mantri Innovative Learning Programme (DHRUV)","...","...","...","10"
"Department of School Education and Literacy","Kendriya Vidyalaya Sangathan (KVS)","Support from Gross Budgetary Support","581.75","1012","994.46","..."
"Department of School Education and Literacy","Kendriya Vidyalaya Sangathan (KVS)","Support from National Investment Fund (NIF)","4425","4000","...","4000"
"Department of School Education and Literacy","Kendriya Vidyalaya Sangathan (KVS)","Support from Central Roads & Infrastructure Fund (CRIF)","...","...","5012","1516.5"
"Department of School Education and Literacy","Navodaya Vidyalaya Samiti (NVS)","Support from Gross Budgetary Support (GBS)","...","...","320","..."
"Department of School Education and Literacy","Navodaya Vidyalaya Samiti (NVS)","Support from National Investment Fund (NIF)","287.15","...","...","..."
"Department of School Education and Literacy","Navodaya Vidyalaya Samiti (NVS)","Support from CRIF","2925.85","3068","3068","3300"
"Department of School Education and Literacy","National Council of Educational Research and Training (NCERT)","Total National Council of Educational Research and Training (NCERT)","283.54","277.38","277.38","300"
"Department of School Education and Literacy","Central Tibetan School Admnistration (CTSA)","Total Central Tibetan School Admnistration (CTSA)","66","61.25","61.25","66"
"Department of School Education and Literacy","National Bal Bhawan","Total National Bal Bhawan","18.75","21","21","22"
"Department of School Education and Literacy","Transfer to National Investment Fund (NIF)","Total Transfer to National Investment Fund (NIF)","4712.15","4000","...","4000"
"Department of School Education and Literacy","Amount met from National Investment Fund","Total Amount met from National Investment Fund","-4712.15","-4000","...","-4000"
"Department of School Education and Literacy","Transfer to Central Road and Infrastructure Fund (CRIF)","Total Transfer to Central Road and Infrastructure Fund (CRIF)","...","3068","8080","4816.5"
"Department of School Education and Literacy","Amount met from Central Road and Infrastructure Fund (CRIF)","Total Amount met from Central Road and Infrastructure Fund (CRIF)","...","-3068","-8080","-4816.5"
"Department of School Education and Literacy","Support to VAs/SRCs/Institutions for Adult Education and Skill Development","Total Support to VAs/SRCs/Institutions for Adult Education and Skill Development","...","...","...","..."
"Department of School Education and Literacy","National Literacy Mission Authority","Total National Literacy Mission Authority","...","0.5","0.12","0.5"
"Department of School Education and Literacy","Transfer to  Madhyamik and Uchhatar Shiksha Kosh","Total Transfer to  Madhyamik and Uchhatar Shiksha Kosh","...","5061.02","5061.02","5567.12"
"Department of School Education and Literacy","Amount met  from Madhyamik and Uchhatar Shiksha Kosh","Total Amount met  from Madhyamik and Uchhatar Shiksha Kosh","...","-5061.02","-5061.02","-5567.12"
"Department of School Education and Literacy","Operation Digital Board","Total Operation Digital Board","...","25","...","..."
"Department of School Education and Literacy","Samagra Shiksha","Support from Gross Budgetary Support (GBS)","...","11363","11315.4","10242.36"
"Department of School Education and Literacy","Samagra Shiksha","EAP Component","...","45","45","5.01"
"Department of School Education and Literacy","Samagra Shiksha","Support from Prarambhik Shiksha Kosh","...","20244","20244","23136.01"
"Department of School Education and Literacy","Samagra Shiksha","Support from Madhyamik and Uchhatar Shiksha Kosh","...","4670","4670","5367.12"
"Department of School Education and Literacy","Sarva Shiksha Abhiyan","Support from Gross Budgetary Support","7220.24","...","...","..."
"Department of School Education and Literacy","Sarva Shiksha Abhiyan","EAP Component","...","...","...","..."
"Department of School Education and Literacy","Sarva Shiksha Abhiyan","Support from Prarambhik Shiksha Kosh","18395.62","...","...","..."
"Department of School Education and Literacy","Rashtriya Madhyamik Shiksha Abhiyan","Programme Component","208.72","...","...","..."
"Department of School Education and Literacy","Rashtriya Madhyamik Shiksha Abhiyan","Support from Madhyamik and Uchhatar Shiksha Kosh","3190.54","...","...","..."
"Department of School Education and Literacy","Rashtriya Madhyamik Shiksha Abhiyan","EAP Component","...","...","...","..."
"Department of School Education and Literacy","Teachers Training and Adult Education","Strengthening of Teachers Training Institutions","373.78","...","...","..."
"Department of School Education and Literacy","Teachers Training and Adult Education","Appointment of Language Teachers","...","50","12.5","100"
"Department of School Education and Literacy","Teachers Training and Adult Education","School Assessment Programme","...","...","...","..."
"Department of School Education and Literacy","Teachers Training and Adult Education","Saakshar Bharat","48","...","...","..."
"Department of School Education and Literacy","Teachers Training and Adult Education","Padhna Likhna Abhiyan","...","75.4","5.4","10"
"Department of School Education and Literacy","National Programme of Mid Day Meal in Schools","Support from Gross Budgetary Support","3067.47","2323.89","1236.1","2323.89"
"Department of School Education and Literacy","National Programme of Mid Day Meal in Schools","Support from Prarambhik Shiksha Kosh","6446.87","8676.11","8676.11","8676.11"
"Department of School Education and Literacy","Transfer to Prarambhik Shiksha Kosh (PSK)","Total Transfer to Prarambhik Shiksha Kosh (PSK)","25227.9","28920.11","28920.11","31812.12"
"Department of School Education and Literacy","Amount met from Prarambhik Shiksha Kosh (PSK)","Total Amount met from Prarambhik Shiksha Kosh (PSK)","-24850.99","-28920.11","-28920.11","-31812.12"
"Department of School Education and Literacy","Education Scheme for Madrasas and Minorities","Total Education Scheme for Madrasas and Minorities","18.25","120","120","220"
"Department of School Education and Literacy","Access and Equity","Total Access and Equity","0.15","...","...","..."
"Department of School Education and Literacy","Actual Recoveries","Total Actual Recoveries","-6.1","...","...","..."
"Department of School Education and Literacy","General Education","Total General Education","9466.16","13853.57","14919.66","15471.18"
"Department of School Education and Literacy","Secretariat-Social Services","Total Secretariat-Social Services","23.96","24.9","29.9","35"
"Department of School Education and Literacy","North Eastern Areas","Total North Eastern Areas","-122.45","4582.7","4448.16","4705.66"
"Department of School Education and Literacy","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","38821.8","37633.22","36711.47","38114.73"
"Department of School Education and Literacy","Grants-in-aid to Union Territory Governments","Total Grants-in-aid to Union Territory Governments","251.1","442.24","427.44","1518.43"
"Department of Science and Technology","Secretariat","Total Secretariat","129.62","158.45","118.45","141.96"
"Department of Science and Technology","Survey of India","Total Survey of India","401.72","416.16","455.56","453.42"
"Department of Science and Technology","National Atlas and Thematic Mapping Organization","Total National Atlas and Thematic Mapping Organization","19.04","25.75","27.25","42.25"
"Department of Science and Technology","Science Counsellor Abroad","Total Science Counsellor Abroad","6.52","9.5","9.5","10"
"Department of Science and Technology","Science and Technology Institutional and Human Capacity Building","Total Science and Technology Institutional and Human Capacity Building","1004.1","1100.2","1091.3","1169.5"
"Department of Science and Technology","Research and Development","Total Research and Development","471.73","611","589","718"
"Department of Science and Technology","Innovation, Technology Development and Deployment","Total Innovation, Technology Development and Deployment","772.6","872.35","811.87","1050.65"
"Department of Science and Technology","National Mission on Interdisciplinary Cyber Physical Systems","Total National Mission on Interdisciplinary Cyber Physical Systems","0.01","124","123.83","270.85"
"Department of Science and Technology","Science and Engineering Research Board","Total Science and Engineering Research Board","1000","1000","956.57","1000"
"Department of Science and Technology","Technology Development Board","Total Technology Development Board","100","100","100","100"
"Department of Science and Technology","Assistance to Autonomous Bodies","Total Assistance to Autonomous Bodies","1142.5","1182.7","1217.7","1357"
"Department of Science and Technology","Actual Recoveries","Total Actual Recoveries","-120.3","...","...","..."
"Department of Science and Technology","Other Scientific Research","Total Other Scientific Research","4766.47","5401.56","5336.48","6108.57"
"Department of Science and Technology","Secretariat-Economic Services","Total Secretariat-Economic Services","81.12","88.45","88.45","91.96"
"Department of Science and Technology","Capital Outlay on Other Scientific and Environmental Research","Total Capital Outlay on Other Scientific and Environmental Research","64.95","90","56","101"
"Department of Science and Technology","Loans for  Other Scientific Research","Total Loans for  Other Scientific Research","...","...","...","..."
"Department of Scientific and Industrial Research","Secretariat","Total Secretariat","13.57","16.16","16.16","17.5"
"Department of Scientific and Industrial Research","Industrial Research and Development","Total Industrial Research and Development","17.9","28","12.29","30.6"
"Department of Scientific and Industrial Research","Assistance to PSEs for Other Scientific Research Schemes","Total Assistance to PSEs for Other Scientific Research Schemes","14.31","17.65","19.71","19.4"
"Department of Scientific and Industrial Research","Council of Scientific and Industrial Research (CSIR)","National Laboratories","4271.28","4531.58","4531.58","4912"
"Department of Scientific and Industrial Research","Council of Scientific and Industrial Research (CSIR)","Capacity Building and Human Resource Development","250","300","300","400"
"Department of Scientific and Industrial Research","Consultancy Development Centre","Total Consultancy Development Centre","...","0.5","0.1","..."
"Department of Scientific and Industrial Research","Contribution to Asian & Pacific Centre for Transfer of Technology (UN Body)","Total Contribution to Asian & Pacific Centre for Transfer of Technology (UN Body)","1.72","2","3.4","5.5"
"Department of Scientific and Industrial Research","Actual Recoveries","Total Actual Recoveries","-20","...","...","..."
"Department of Scientific and Industrial Research","Capital Outlay on Public Works","Total Capital Outlay on Public Works","1.5","3.5","3.5","3.5"
"Department of Scientific and Industrial Research","Other Scientific Research","Total Other Scientific Research","4532.52","4873.58","4863.93","5361.2"
"Department of Scientific and Industrial Research","Secretariat-Economic Services","Total Secretariat-Economic Services","12.07","12.66","12.66","14"
"Department of Scientific and Industrial Research","Capital Outlay on Telecommunication and Electronic Industries","Total Capital Outlay on Telecommunication and Electronic Industries","2","1.65","1.65","1.8"
"Department of Scientific and Industrial Research","Capital Outlay on Other Scientific and Environmental Research","Total Capital Outlay on Other Scientific and Environmental Research","0.36","0.5","0.5","0.5"
"Department of Scientific and Industrial Research","Loans for  Other Scientific Research","Total Loans for  Other Scientific Research","0.33","4","1","4"
"Department of Social Justice and Empowerment","Secretariat","Total Secretariat","47.92","51.93","53","60"
"Department of Social Justice and Empowerment","National Commission for Scheduled Castes","Total National Commission for Scheduled Castes","19.08","24.11","24.11","25"
"Department of Social Justice and Empowerment","National Commission for Backward Classes","Total National Commission for Backward Classes","4.5","6.3","6.3","8"
"Department of Social Justice and Empowerment","National Commission for Safai Karamcharis","Total National Commission for Safai Karamcharis","6.7","9.46","9.06","10"
"Department of Social Justice and Empowerment","Development and Welfare Board for Denotified, Nomadic and Semi-Nomadic Communities","Total Development and Welfare Board for Denotified, Nomadic and Semi-Nomadic Communities","...","...","0.4","1.24"
"Department of Social Justice and Empowerment","National Fellowship for SCs","Total National Fellowship for SCs","240","360","246.66","300"
"Department of Social Justice and Empowerment","National Fellowship for Other Backward Classes and Economically Backward Classes","Total National Fellowship for Other Backward Classes and Economically Backward Classes","30","70","52.5","120"
"Department of Social Justice and Empowerment","Free Coaching for SC and OBC Students","Total Free Coaching for SC and OBC Students","14.88","30","30","30"
"Department of Social Justice and Empowerment","Top Class Education for SCs","Total Top Class Education for SCs","25.48","40.5","40.5","40"
"Department of Social Justice and Empowerment","National Overseas Scholarship for SCs","Total National Overseas Scholarship for SCs","5.97","20","20","20"
"Department of Social Justice and Empowerment","National Overseas Scholarships for OBCs","Total National Overseas Scholarships for OBCs","10","15","26.09","35"
"Department of Social Justice and Empowerment","Rashtriya Vayoshri Yojanaa","Amount met from GBS","106.51","0.01","0.01","1"
"Department of Social Justice and Empowerment","Rashtriya Vayoshri Yojanaa","Less amount met from Sr. Citizens Welfare Fund","...","...","...","..."
"Department of Social Justice and Empowerment","Assistance to Voluntary Organisations working for SCs","Total Assistance to Voluntary Organisations working for SCs","36.08","70","70","100"
"Department of Social Justice and Empowerment","Self Employment Scheme for Rehabilitation of Manual Scavengers","Total Self Employment Scheme for Rehabilitation of Manual Scavengers","85.76","110","99.93","110"
"Department of Social Justice and Empowerment","Credit Guarantee Fund for SCs","Total Credit Guarantee Fund for SCs","0.01","0.01","0.01","1"
"Department of Social Justice and Empowerment","Assistance to Voluntary Organisations for Programmes Relating to Aged","Total Assistance to Voluntary Organisations for Programmes Relating to Aged","65.08","90.1","100","..."
"Department of Social Justice and Empowerment","Scheme for Prevention of Alcoholism and Substance (Drugs) Abuse","Total Scheme for Prevention of Alcoholism and Substance (Drugs) Abuse","80","130","110","..."
"Department of Social Justice and Empowerment","National Survey to Assess the Extent, Pattern and Trends on Drug Abuse and Substance Abuse","Total National Survey to Assess the Extent, Pattern and Trends on Drug Abuse and Substance Abuse","8.91","0.99","...","..."
"Department of Social Justice and Empowerment","Information and Mass Education Cell","Total Information and Mass Education Cell","41.03","45","11","20"
"Department of Social Justice and Empowerment","Research Studies and Publications","Total Research Studies and Publications","0.57","5","5","..."
"Department of Social Justice and Empowerment","Integrated Programme for Rehabilitation of Beggars","Total Integrated Programme for Rehabilitation of Beggars","0.5","5","25","100"
"Department of Social Justice and Empowerment","Scheme for Transgender Persons","Total Scheme for Transgender Persons","1","5","5","10"
"Department of Social Justice and Empowerment","Assistance to Voluntary Organisations for Providing Social Defence Services","Total Assistance to Voluntary Organisations for Providing Social Defence Services","3","3","3","4"
"Department of Social Justice and Empowerment","Assistance to Voluntary Organisations for OBCs","Total Assistance to Voluntary Organisations for OBCs","40","30","34","50"
"Department of Social Justice and Empowerment","Baba Saheb Dr. B.R. Ambedkar Foundation","Total Baba Saheb Dr. B.R. Ambedkar Foundation","1","1","1","1"
"Department of Social Justice and Empowerment","National Institute of Social Defence","Total National Institute of Social Defence","27.37","25","23.93","35"
"Department of Social Justice and Empowerment","National Scheduled Castes Finance and Development Corporation","Total National Scheduled Castes Finance and Development Corporation","137.39","180","150","180"
"Department of Social Justice and Empowerment","National Safai Karamcharis Finance and Development Corporation","Total National Safai Karamcharis Finance and Development Corporation","30","35","35","40"
"Department of Social Justice and Empowerment","National Backward Classes Finance and Development Corporation","Total National Backward Classes Finance and Development Corporation","100","130","160","200"
"Department of Social Justice and Empowerment","Venture Capital Fund for Scheduled Castes and Backward Classes","Total Venture Capital Fund for Scheduled Castes and Backward Classes","10","110","110","125"
"Department of Social Justice and Empowerment","Dr. Ambedkar National Memorial","Total Dr. Ambedkar National Memorial","9.37","5","5","..."
"Department of Social Justice and Empowerment","Dr. B. R. Ambedkar International Centre","Total Dr. B. R. Ambedkar International Centre","5.63","15","15","25"
"Department of Social Justice and Empowerment","Educational Empowerment","Post-Matric Scholarship","5928.16","2926.82","2690","2987.33"
"Department of Social Justice and Empowerment","Educational Empowerment","Pre-Matric Scholarship for SC Students","115.64","355","355","700"
"Department of Social Justice and Empowerment","Educational Empowerment","Boys and Girls Hostels","36.56","107.76","25","30"
"Department of Social Justice and Empowerment","Educational Empowerment","Upgradation of Merit of SC Students","...","0.01","...","..."
"Department of Social Justice and Empowerment","Educational Empowerment","Pre-Matric Scholarship for Children of those engaged in unclean occupations and prone to heath hazards","3.12","5","30","25"
"Department of Social Justice and Empowerment","Special Central Assistance","Special Central Assistance to SC Sub Scheme","897.25","1100","1100","1200"
"Department of Social Justice and Empowerment","Civil Rights","Strengthening of Machinery for Enforcement of Protection of Civil Rights Act 1995 and Prevention of Atrocities Act 1989","405.72","530","630","550"
"Department of Social Justice and Empowerment","Livelihoods","State Scheduled Castes Development Corporations","20","30","20","50"
"Department of Social Justice and Empowerment","Infrastructure Development","Pradhan Mantri Adarsh Gram Yojana","167.89","390","718","700"
"Department of Social Justice and Empowerment","Schemes for Backward Classes","Post-Martric Scholarship","1000.46","1360","1397.5","1415"
"Department of Social Justice and Empowerment","Schemes for Backward Classes","Pre-Matric Scholarship","121.84","220","220","250"
"Department of Social Justice and Empowerment","Schemes for Backward Classes","Boys and Girls Hostel","36.05","30","30","50"
"Department of Social Justice and Empowerment","Schemes for Backward Classes","Scheme for Development of Economically Backward Classes","23","23","13","25"
"Department of Social Justice and Empowerment","Schemes for Backward Classes","Scheme for Development of Denotified Nomadic Tribes","9","10","10","10"
"Department of Social Justice and Empowerment","Schemes for Other Vulnerable Groups","National Policy for prevention of Alcoholism and Substance (Drugs) abuse","112.33","135","135","..."
"Department of Social Justice and Empowerment","Schemes for Other Vulnerable Groups","National Action Plan for Senior Citizens","...","40","40","200"
"Department of Social Justice and Empowerment","Schemes for Other Vulnerable Groups","National Action Plan for Drug Demand Reduction","...","...","...","260"
"Department of Social Justice and Empowerment","Actual Recoveries","Total Actual Recoveries","-0.26","...","...","..."
"Department of Social Justice and Empowerment","Council of Ministers","Total Council of Ministers","0.02","0.04","0.04","0.04"
"Department of Social Justice and Empowerment","Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities","Total Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities","576.7","898.86","754.97","965.04"
"Department of Social Justice and Empowerment","Social Security and Welfare","Total Social Security and Welfare","404.16","367","321.62","407"
"Department of Social Justice and Empowerment","Secretariat-Social Services","Total Secretariat-Social Services","47.84","51.89","52.96","59.96"
"Department of Social Justice and Empowerment","Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes , Other Backward Classes and Minorities","Total Capital Outlay on Welfare of Scheduled Castes, Scheduled Tribes , Other Backward Classes and Minorities","277.4","455.01","455.01","546"
"Department of Social Justice and Empowerment","North Eastern Areas","Total North Eastern Areas","...","343.81","343.81","392"
"Department of Social Justice and Empowerment","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","8748.47","6740.09","6926.79","7697.93"
"Department of Social Justice and Empowerment","Grants-in-aid to Union Territory Governments","Total Grants-in-aid to Union Territory Governments","15.91","28.3","29.8","35.6"
"Department of Space","Secretariat","Total Secretariat","53.01","35","53","36.17"
"Department of Space","Indian Space Research Organisation (ISRO) Head Quarters","Total Indian Space Research Organisation (ISRO) Head Quarters","448.62","332","220.48","194"
"Department of Space","Space Technology","Total Space Technology","6382.82","8407.59","8991.13","9761.5"
"Department of Space","Space Applications","Total Space Applications","1811.47","1885.45","1862.77","1810"
"Department of Space","Space Sciences","Total Space Sciences","221.64","285.8","281.88","265"
"Department of Space","INSAT Satellite Systems","Total INSAT Satellite Systems","1592.53","884.42","1008.56","750.5"
"Department of Space","Indian Institute of Space Science and Technology (IIST)","Total Indian Institute of Space Science and Technology (IIST)","81.21","80","90","90"
"Department of Space","Semi Conductor Laboratory (SCL)","Total Semi Conductor Laboratory (SCL)","327.16","300","350","316"
"Department of Space","North Eastern Space Applications Centre (NE-SAC)","Total North Eastern Space Applications Centre (NE-SAC)","39.98","40","34","40.3"
"Department of Space","National Atmospheric Research Laboratory (NARL)","Total National Atmospheric Research Laboratory (NARL)","54.49","50","51.1","38.5"
"Department of Space","Physical Research Laboratory (PRL)","Total Physical Research Laboratory (PRL)","177.26","145","180","172"
"Department of Space","NewSpace India Limited (NSIL)","Total NewSpace India Limited (NSIL)","...","10","10","..."
"Department of Space","International Co-operation","Total International Co-operation","2.47","18","6.34","5.5"
"Department of Space","Actual Recoveries","Total Actual Recoveries","-4.29","...","...","..."
"Department of Space","Space Research","Total Space Research","5602.77","5839.72","5821.72","5668.03"
"Department of Space","Secretariat-Economic Services","Total Secretariat-Economic Services","52.96","35","53","36.17"
"Department of Space","Capital Outlay on Space Research","Total Capital Outlay on Space Research","5532.64","6598.54","7264.54","7775.27"
"Department of Telecommunications","Secretariat -Economic Services","Total Secretariat -Economic Services","875.58","525.47","613.07","678.32"
"Department of Telecommunications","Pensions","Total Pensions","11990.9","12209.58","13190.27","13981.68"
"Department of Telecommunications","Labour Employment and Skill Development","Total Labour Employment and Skill Development","2.84","4.46","2.84","2.85"
"Department of Telecommunications","Regulatory Bodies","Telecom Regulatory Authority of India General Fund","85","90","60","70"
"Department of Telecommunications","Regulatory Bodies","Telecom Dispute Settlement and Appellate Tribunal (TDSAT)","17.01","18.06","14.65","18.92"
"Department of Telecommunications","Compensation to Service Providers for creation and augmentation of telecom infrastructure","Transfer to Universal Service Obligation (USO) Fund","4788.22","8350","3000","8000"
"Department of Telecommunications","Compensation to Service Providers for creation and augmentation of telecom infrastructure","Compensation to Telecom Service Providers","472.71","2350","1000","2000"
"Department of Telecommunications","Compensation to Service Providers for creation and augmentation of telecom infrastructure","Bharatnet","4315.51","6000","2000","6000"
"Department of Telecommunications","Compensation to Service Providers for creation and augmentation of telecom infrastructure","Amount met from Universal Service Obligation (USO) Fund","-4788.29","-8350","-3000","-8000"
"Department of Telecommunications","Optical Fibre Cable based network for Defence Services","Transfer to Central Road and Infrastructure Fund","1927.21","4725","4725","5000"
"Department of Telecommunications","Optical Fibre Cable based network for Defence Services","Optical Fibre Cable based network for Defence Services","1927.21","4725","4725","5000"
"Department of Telecommunications","Optical Fibre Cable based network for Defence Services","Less- Amount Met from Central Road and Infrastructure Fund","-1927.21","-4725","-4725","-5000"
"Department of Telecommunications","Human Resource Management","Physical Infrastructure for National Institute of Communication Finance","27.59","78.86","40.76","58.45"
"Department of Telecommunications","Wireless Planning and Coordination","Wireless Planning and Coordination","12.6","14.97","13.7","15.05"
"Department of Telecommunications","Wireless Planning and Coordination","Wireless Monitoring  Services","40.64","63.54","40.85","64.95"
"Department of Telecommunications","Telecom Engineering Centre","Total Telecom Engineering Centre","0.65","20.11","5","20"
"Department of Telecommunications","Technology Development and  Investment Promotion","Total Technology Development and  Investment Promotion","3.7","20.2","3","10"
"Department of Telecommunications","Establishment of Satellite Gateway (Assistance to BSNL)","Total Establishment of Satellite Gateway (Assistance to BSNL)","...","...","...","10"
"Department of Telecommunications","Construction of  Office Building","Total Construction of  Office Building","...","0.05","...","0.05"
"Department of Telecommunications","Special Assistance for Swachhta Action Plan","Total Special Assistance for Swachhta Action Plan","7","8","4.5","5"
"Department of Telecommunications","Telecom Testing and Security Certification Centre","Total Telecom Testing and Security Certification Centre","15.78","0.1","5.39","10"
"Department of Telecommunications","Telecom Computer Emergency Response Team(T-Cert)","Total Telecom Computer Emergency Response Team(T-Cert)","15","15","...","10"
"Department of Telecommunications","Central Equipments Identity Register (CEIR)","Total Central Equipments Identity Register (CEIR)","15","15","...","10"
"Department of Telecommunications","Funding to BSNL for providing Telecom Connectivity for Amarnath Yatra","Total Funding to BSNL for providing Telecom Connectivity for Amarnath Yatra","1","1","1","1"
"Department of Telecommunications","5G Connectivity Test Bed","Total 5G Connectivity Test Bed","59.27","38.59","40","45"
"Department of Telecommunications","Champion Services Sector Scheme","Promotion of Innovation and Incubation of Future Technologies for Telecom Sector","...","50.07","5","20"
"Department of Telecommunications","Centre for Development of Telematics (C-DoT)","Total Centre for Development of Telematics (C-DoT)","260","273","273","323"
"Department of Telecommunications","Support to Public Sector Undertakings","Financial Support to Mahanagar Telephone Nigam Limited on account of MAT/Refund of CDMA Spectrum/Payment of interest on MTNL Bonds/FTTH","382.41","384","351.45","372"
"Department of Telecommunications","Support to Public Sector Undertakings","Financial Relief / Infusion to Indian Telephone Industries Limited","55","405","405","405"
"Department of Telecommunications","Support to Public Sector Undertakings","Waiver of Loan to Bharat Sanchar Nigam Limited","983.18","...","...","..."
"Department of Telecommunications","Support to Public Sector Undertakings","Waiver of Interest on Loan to Bharat Sanchar Nigam Limited","427.68","...","...","..."
"Department of Telecommunications","Support to Public Sector Undertakings","Capital infusion in BSNL for 4G Spectrum","...","...","...","14115"
"Department of Telecommunications","Support to Public Sector Undertakings","Capital infusion in MTNL for 4G Spectrum","...","...","...","6295"
"Department of Telecommunications","Support to Public Sector Undertakings","Ex-gratia payment to voluntarily retiring employees of BSNL/MTNL","...","...","...","9889.65"
"Department of Telecommunications","Support to Public Sector Undertakings","Implementation of Voluntary Retirement Scheme (BSNL/MTNL)","...","...","527.71","3294.77"
"Department of Telecommunications","Support to Public Sector Undertakings","Grant-in-aid to BSNL for payment of GST","...","...","...","2541"
"Department of Telecommunications","Support to Public Sector Undertakings","Grant-in-aid to MTNL for payment of GST","...","...","...","1133"
"Department of Telecommunications","International Cooperation","Total International Cooperation","24.15","28.3","28.3","32"
"Department of Telecommunications","Pensions and other Retirement Benefits","Total Pensions and other Retirement Benefits","11990.9","12209.58","13190.27","13981.68"
"Department of Telecommunications","Labour, Employment and Skill Development","Total Labour, Employment and Skill Development","2.84","4.46","2.84","2.85"
"Department of Telecommunications","Other Communication Services","Total Other Communication Services","5622.93","8740.11","4301.62","25261.48"
"Department of Telecommunications","Secretariat-Economic Services","Total Secretariat-Economic Services","875.58","525.47","613.07","678.32"
"Department of Telecommunications","Capital Outlay on Telecommunication and Electronic Industries","Total Capital Outlay on Telecommunication and Electronic Industries","55","105","105","105"
"Department of Telecommunications","Capital Outlay on Other Communication Services","Total Capital Outlay on Other Communication Services","2059.23","4409.72","4337.89","25070.06"
"Department of Telecommunications","North Eastern Areas","Total North Eastern Areas","...","864.02","327.3","832.3"
"Department of Telecommunications","Capital Outlay on North Eastern Areas","Total Capital Outlay on North Eastern Areas","...","480","472.5","500"
"Department of Water Resources, River Development and Ganga Rejuvenation","Secretariat","Secretariat","79.85","98.83","91.78","95"
"Department of Water Resources, River Development and Ganga Rejuvenation","Secretariat","Recoveries","-0.03","...","...","..."
"Department of Water Resources, River Development and Ganga Rejuvenation","Central Water Commission","Central Water Commission","361.72","435.55","411.87","411.54"
"Department of Water Resources, River Development and Ganga Rejuvenation","Central Water Commission","Recoveries","-0.09","-9","-9","-9"
"Department of Water Resources, River Development and Ganga Rejuvenation","Central Water and Power Research Station","Central Water and Power Research Station","75.21","86.23","87.08","87.1"
"Department of Water Resources, River Development and Ganga Rejuvenation","Central Water and Power Research Station","Recoveries","-12.94","-13.1","-13.1","-14.1"
"Department of Water Resources, River Development and Ganga Rejuvenation","Central Soil and Material Research Station","Total Central Soil and Material Research Station","14.63","16.36","16.63","16.25"
"Department of Water Resources, River Development and Ganga Rejuvenation","Sardar Sarovar Construction Advisory Committee","Total Sardar Sarovar Construction Advisory Committee","0.46","0.58","0.36","0.5"
"Department of Water Resources, River Development and Ganga Rejuvenation","Bansagar Control Board","Total Bansagar Control Board","0.36","0.53","0.53","0.4"
"Department of Water Resources, River Development and Ganga Rejuvenation","Upper Yamuna River Board","Upper Yamuna River Board","10.86","10.32","10.32","9.66"
"Department of Water Resources, River Development and Ganga Rejuvenation","Upper Yamuna River Board","Recoveries","-1.33","-8.02","-8.02","-8.02"
"Department of Water Resources, River Development and Ganga Rejuvenation","Central Ground Water Board","Total Central Ground Water Board","226.88","229.45","242.82","245"
"Department of Water Resources, River Development and Ganga Rejuvenation","National Institute of Hydrology","Total National Institute of Hydrology","21","26.5","23.78","25.02"
"Department of Water Resources, River Development and Ganga Rejuvenation","National Water Informatics Centre","Total National Water Informatics Centre","...","2.07","2.41","2.5"
"Department of Water Resources, River Development and Ganga Rejuvenation","Cauvery Water Management Authority","Total Cauvery Water Management Authority","2","...","...","..."
